Date,Exercise Name,Weight
2015-10-24 10:19:52,Lat Pulldown ,150.0
2015-10-24 10:19:52,Lat Pulldown ,150.0
2015-10-24 10:19:52,Lat Pulldown,150.0
2015-10-24 10:19:52,Lat Pulldown,150.0
2015-11-06 16:48:14,Lat Pulldown,150.0
2015-11-06 16:48:14,Lat Pulldown,155.0
2015-11-06 16:48:14,Lat Pulldown,155.0
2015-11-06 16:48:14,Lat Pulldown ,150.0
2015-11-06 16:48:14,Lat Pulldown ,155.0
2015-11-06 16:48:14,Lat Pulldown ,155.0
2015-11-26 11:43:16,Lat Pulldown,135.0
2015-11-26 11:43:16,Lat Pulldown,150.0
2015-11-26 11:43:16,Lat Pulldown ,135.0
2015-11-26 11:43:16,Lat Pulldown ,150.0
2015-12-04 14:01:58,Lat Pulldown,145.0
2015-12-04 14:01:58,Lat Pulldown ,145.0
2015-12-09 12:44:47,Lat Pulldown ,150.0
2015-12-09 12:44:47,Lat Pulldown ,150.0
2015-12-09 12:44:47,Lat Pulldown ,150.0
2015-12-09 12:44:47,Lat Pulldown,150.0
2015-12-09 12:44:47,Lat Pulldown,150.0
2015-12-09 12:44:47,Lat Pulldown,150.0
2015-12-26 14:34:33,Lat Pulldown ,150.0
2015-12-26 14:34:33,Lat Pulldown ,150.0
2015-12-26 14:34:33,Lat Pulldown ,150.0
2015-12-26 14:34:33,Lat Pulldown,150.0
2015-12-26 14:34:33,Lat Pulldown,150.0
2015-12-26 14:34:33,Lat Pulldown,150.0
2015-12-31 17:38:40,Lat Pulldown,150.0
2015-12-31 17:38:40,Lat Pulldown,150.0
2015-12-31 17:38:40,Lat Pulldown,150.0
2015-12-31 17:38:40,Lat Pulldown ,150.0
2015-12-31 17:38:40,Lat Pulldown ,150.0
2015-12-31 17:38:40,Lat Pulldown ,150.0
2016-01-06 18:32:40,Lat Pulldown,115.0
2016-01-06 18:32:40,Lat Pulldown,115.0
2016-01-06 18:32:40,Lat Pulldown,145.0
2016-01-06 18:32:40,Lat Pulldown,145.0
2016-01-06 18:32:40,Lat Pulldown ,115.0
2016-01-06 18:32:40,Lat Pulldown ,115.0
2016-01-06 18:32:40,Lat Pulldown ,145.0
2016-01-06 18:32:40,Lat Pulldown ,145.0
2016-01-30 15:01:17,Hammer lat pulldown,180.0
2016-01-30 15:01:17,Hammer lat pulldown,180.0
2016-01-30 15:01:17,Hammer lat pulldown,180.0
2016-01-30 15:01:17,Hammer lat pulldown,180.0
2016-01-30 15:01:17,Hammer lat pulldown,180.0
2016-01-30 15:01:17,Hammer lat pulldown,180.0
2016-02-11 13:33:03,Lat Pulldown ,145.0
2016-02-11 13:33:03,Lat Pulldown ,145.0
2016-02-11 13:33:03,Lat Pulldown ,145.0
2016-02-11 13:33:03,Lat Pulldown,145.0
2016-02-11 13:33:03,Lat Pulldown,145.0
2016-02-11 13:33:03,Lat Pulldown,145.0
2016-05-21 14:44:18,Lat Pulldown ,135.0
2016-05-21 14:44:18,Lat Pulldown ,145.0
2016-05-21 14:44:18,Lat Pulldown ,150.0
2016-05-21 14:44:18,Lat Pulldown ,150.0
2016-05-21 14:44:18,Lat Pulldown,135.0
2016-05-21 14:44:18,Lat Pulldown,145.0
2016-05-21 14:44:18,Lat Pulldown,150.0
2016-05-21 14:44:18,Lat Pulldown,150.0
2016-07-17 17:21:08,Lat Pulldown ,155.0
2016-07-17 17:21:08,Lat Pulldown ,165.0
2016-07-17 17:21:08,Lat Pulldown ,165.0
2016-09-04 16:24:32,Lat Pulldown ,135.0
2016-09-04 16:24:32,Lat Pulldown ,135.0
2016-09-09 14:22:08,Lat Pulldown ,135.0
2016-09-09 14:22:08,Lat Pulldown ,135.0
2016-09-13 06:51:12,Lat Pulldown ,140.0
2016-09-22 16:51:04,Lat Pulldown ,150.0
2016-09-22 16:51:04,Lat Pulldown ,155.0
2016-09-22 16:51:04,Lat Pulldown ,155.0
2016-10-19 18:17:58,Lat Pulldown ,155.0
2016-10-19 18:17:58,Lat Pulldown ,155.0
2016-10-19 18:17:58,Lat Pulldown ,155.0
2016-10-23 13:14:37,Lat Pulldown ,165.0
2016-10-23 13:14:37,Lat Pulldown ,170.0
2016-10-23 13:14:37,Lat Pulldown ,185.0
2016-10-27 20:33:09,Lat Pulldown ,170.0
2016-10-27 20:33:09,Lat Pulldown ,170.0
2016-10-31 18:42:22,Lat Pulldown ,180.0
2016-10-31 18:42:22,Lat Pulldown ,180.0
2016-10-31 18:42:22,Lat Pulldown ,180.0
2016-10-31 18:42:22,Lat Pulldown ,185.0
2016-10-31 18:42:22,Lat Pulldown ,195.0
2016-10-31 18:42:22,Lat Pulldown ,195.0
2016-11-11 18:50:03,Lat Pulldown ,195.0
2016-11-11 18:50:03,Lat Pulldown ,180.0
2016-11-19 11:55:36,Lat Pulldown ,135.0
2016-11-19 11:55:36,Lat Pulldown ,150.0
2017-01-09 06:09:51,Lat Pulldown ,180.0
2017-01-09 06:09:51,Lat Pulldown ,185.0
2017-04-09 19:16:18,Lat Pulldown ,170.0
2017-04-09 19:16:18,Lat Pulldown ,170.0
2017-06-05 19:50:48,Lat Pulldown (Cable),130.0
2017-06-05 19:50:48,Lat Pulldown (Cable),140.0
2017-09-03 13:38:41,Lat Pulldown ,160.0
2017-09-03 13:38:41,Lat Pulldown ,175.0
2017-09-03 13:38:41,Lat Pulldown ,190.0
2017-09-12 20:17:20,Lat Pulldown ,170.0
2017-09-12 20:17:20,Lat Pulldown ,170.0
2017-09-12 20:17:20,Lat Pulldown ,150.0
2017-11-06 18:43:57,Lat Pulldown,170.0
2017-11-06 18:43:57,Lat Pulldown,190.0
2017-11-06 18:43:57,Lat Pulldown,150.0
2017-11-06 18:43:57,Lat Pulldown,150.0
2017-12-02 00:14:13,Hammer lat pulldown,180.0
2017-12-02 00:14:13,Hammer lat pulldown,180.0
2017-12-02 00:14:13,Hammer lat pulldown,210.0
2017-12-02 00:14:13,Hammer lat pulldown,190.0
2017-12-09 15:27:51,Hammer lat pulldown,195.0
2017-12-09 15:27:51,Hammer lat pulldown,195.0
2017-12-17 11:07:59,Hammer lat pulldown,190.0
2017-12-17 11:07:59,Hammer lat pulldown,195.0
2017-12-21 00:10:03,Hammer lat pulldown,200.0
2017-12-21 00:10:03,Hammer lat pulldown,200.0
2017-12-29 13:43:12,Lat Pulldown ,140.0
2017-12-29 13:43:12,Lat Pulldown ,130.0
2017-12-29 13:43:12,Lat Pulldown ,100.0
2018-01-02 21:03:19,Lat Pulldown ,90.0
2018-01-02 21:03:19,Lat Pulldown ,90.0
2018-01-02 21:03:19,Lat Pulldown ,100.0
2018-01-02 21:03:19,Lat Pulldown ,100.0
2018-01-06 12:02:36,Lat Pulldown ,100.0
2018-01-06 12:02:36,Lat Pulldown ,100.0
2018-01-10 19:40:42,Hammer lat pulldown,100.0
2018-01-10 19:40:42,Hammer lat pulldown,100.0
2018-02-11 13:23:29,Lat Pulldown ,150.0
2018-02-11 13:23:29,Lat Pulldown ,150.0
2018-02-16 18:45:34,Hammer lat pulldown,180.0
2018-02-16 18:45:34,Hammer lat pulldown,180.0
2018-02-16 18:45:34,Hammer lat pulldown,180.0
2018-02-20 18:28:50,Lat Pulldown ,130.0
2018-02-20 18:28:50,Lat Pulldown ,170.0
2018-02-20 18:28:50,Lat Pulldown ,150.0
2018-02-24 20:32:01,Lat Pulldown Closegrip,150.0
2018-02-24 20:32:01,Lat Pulldown Closegrip,170.0
2018-02-28 17:46:53,Lat Pulldown ,150.0
2018-02-28 17:46:53,Lat Pulldown ,130.0
2018-03-19 19:27:35,Lat Pulldown ,130.0
2018-03-19 19:27:35,Lat Pulldown ,130.0
2018-03-27 20:18:33,Hammer lat pulldown,140.0
2018-03-27 20:18:33,Hammer lat pulldown,160.0
2018-05-21 18:57:18,Lat Pulldown,110.0
2018-05-21 18:57:18,Lat Pulldown,110.0
2018-05-26 17:40:31,Lat Pulldown ,120.0
2018-05-26 17:40:31,Lat Pulldown ,150.0
2018-05-26 17:40:31,Lat Pulldown ,170.0
2018-05-26 17:40:31,Lat Pulldown ,175.0
2018-06-15 20:34:44,Hammer lat pulldown,180.0
2018-06-15 20:34:44,Hammer lat pulldown,180.0
2018-06-15 20:34:44,Hammer lat pulldown,205.0
2018-06-15 20:34:44,Hammer lat pulldown,205.0
2018-06-22 17:32:35,Lat Pulldown ,120.0
2018-06-22 17:32:35,Lat Pulldown ,120.0
2018-06-22 17:32:35,Lat Pulldown ,140.0
2018-06-22 17:32:35,Lat Pulldown ,140.0
